Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR2	C	5	21	2	1,29	0	1	185
CR2	C	5	21	2	1,29	0	2	185
CR2	C	5	21	2	1,29	0	3	185
CR2	L	5	21	2	1,29	0	1	185
CR2	L	5	21	2	1,29	0	2	185
CR2	L	5	21	2	1,29	0	3	185
CR2	M	5	21	2	1,29	0	1	185
CR2	M	5	21	2	1,29	0	2	185
CR2	M	5	21	2	1,29	0	3	185
CR2	H	5	21	2	1,29	0	1	185
CR2	H	5	21	2	1,29	0	2	185
CR2	H	5	21	2	1,29	0	3	185
CR4	C	5	21	2	1,29	0	1	185
CR4	C	5	21	2	1,29	0	2	185
CR4	C	5	21	2	1,29	0	3	185
CR4	L	5	21	2	1,29	0	1	185
CR4	L	5	21	2	1,29	0	2	185
CR4	L	5	21	2	1,29	0	3	185
CR4	M	5	21	2	1,29	0	1	185
CR4	M	5	21	2	1,29	0	2	185
CR4	M	5	21	2	1,29	0	3	185
CR4	H	5	21	2	1,29	0	1	185
CR4	H	5	21	2	1,29	0	2	185
CR4	H	5	21	2	1,29	0	3	185
CR2-CR4	C	5	21	2	1,29	0	1	185
CR2-CR4	C	5	21	2	1,29	0	2	185
CR2-CR4	C	5	21	2	1,29	0	3	185
CR2-CR4	L	5	21	2	1,29	0	1	185
CR2-CR4	L	5	21	2	1,29	0	2	185
CR2-CR4	L	5	21	2	1,29	0	3	185
CR2-CR4	M	5	21	2	1,29	0	1	185
CR2-CR4	M	5	21	2	1,29	0	2	185
CR2-CR4	M	5	21	2	1,29	0	3	185
CR2-CR4	H	5	21	2	1,29	0	1	185
CR2-CR4	H	5	21	2	1,29	0	2	185
CR2-CR4	H	5	21	2	1,29	0	3	185
CR7-CR4	C	5	21	2	1,29	0	1	185
CR7-CR4	C	5	21	2	1,29	0	2	185
CR7-CR4	C	5	21	2	1,29	0	3	185
CR7-CR4	L	5	21	2	1,29	0	1	185
CR7-CR4	L	5	21	2	1,29	0	2	185
CR7-CR4	L	5	21	2	1,29	0	3	185
CR7-CR4	M	5	21	2	1,29	0	1	185
CR7-CR4	M	5	21	2	1,29	0	2	185
CR7-CR4	M	5	21	2	1,29	0	3	185
CR7-CR4	H	5	21	2	1,29	0	1	185
CR7-CR4	H	5	21	2	1,29	0	2	185
CR7-CR4	H	5	21	2	1,29	0	3	185
CR2	C	5	21	2	1,29	1	1	291
CR2	C	5	21	2	1,29	1	2	334
CR2	C	5	21	2	1,29	1	3	291
CR2	L	5	21	2	1,29	1	1	850
CR2	L	5	21	2	1,29	1	2	821
CR2	L	5	21	2	1,29	1	3	751
CR2	M	5	21	2	1,29	1	1	392
CR2	M	5	21	2	1,29	1	2	384
CR2	M	5	21	2	1,29	1	3	404
CR2	H	5	21	2	1,29	1	1	846
CR2	H	5	21	2	1,29	1	2	842
CR2	H	5	21	2	1,29	1	3	830
CR4	C	5	21	2	1,29	1	1	1305
CR4	C	5	21	2	1,29	1	2	1338
CR4	C	5	21	2	1,29	1	3	1371
CR4	L	5	21	2	1,29	1	1	1301
CR4	L	5	21	2	1,29	1	2	1341
CR4	L	5	21	2	1,29	1	3	1370
CR4	M	5	21	2	1,29	1	1	1381
CR4	M	5	21	2	1,29	1	2	1422
CR4	M	5	21	2	1,29	1	3	1446
CR4	H	5	21	2	1,29	1	1	1475
CR4	H	5	21	2	1,29	1	2	1373
CR4	H	5	21	2	1,29	1	3	1359
CR2-CR4	C	5	21	2	1,29	1	1	411
CR2-CR4	C	5	21	2	1,29	1	2	363
CR2-CR4	C	5	21	2	1,29	1	3	347
CR2-CR4	L	5	21	2	1,29	1	1	853
CR2-CR4	L	5	21	2	1,29	1	2	798
CR2-CR4	L	5	21	2	1,29	1	3	848
CR2-CR4	M	5	21	2	1,29	1	1	250
CR2-CR4	M	5	21	2	1,29	1	2	214
CR2-CR4	M	5	21	2	1,29	1	3	205
CR2-CR4	H	5	21	2	1,29	1	1	774
CR2-CR4	H	5	21	2	1,29	1	2	740
CR2-CR4	H	5	21	2	1,29	1	3	772
CR7-CR4	C	5	21	2	1,29	1	1	1389
CR7-CR4	C	5	21	2	1,29	1	2	1435
CR7-CR4	C	5	21	2	1,29	1	3	1397
CR7-CR4	L	5	21	2	1,29	1	1	1164
CR7-CR4	L	5	21	2	1,29	1	2	1248
CR7-CR4	L	5	21	2	1,29	1	3	1360
CR7-CR4	M	5	21	2	1,29	1	1	1219
CR7-CR4	M	5	21	2	1,29	1	2	1291
CR7-CR4	M	5	21	2	1,29	1	3	1279
CR7-CR4	H	5	21	2	1,29	1	1	1104
CR7-CR4	H	5	21	2	1,29	1	2	1118
CR7-CR4	H	5	21	2	1,29	1	3	1054
CR2	C	5	21	2	1,29	2	1	465
CR2	C	5	21	2	1,29	2	2	619
CR2	C	5	21	2	1,29	2	3	531
CR2	L	5	21	2	1,29	2	1	381
CR2	L	5	21	2	1,29	2	2	253
CR2	L	5	21	2	1,29	2	3	273
CR2	M	5	21	2	1,29	2	1	499
CR2	M	5	21	2	1,29	2	2	399
CR2	M	5	21	2	1,29	2	3	507
CR2	H	5	21	2	1,29	2	1	319
CR2	H	5	21	2	1,29	2	2	272
CR2	H	5	21	2	1,29	2	3	240
CR4	C	5	21	2	1,29	2	1	1557
CR4	C	5	21	2	1,29	2	2	1500
CR4	C	5	21	2	1,29	2	3	1582
CR4	L	5	21	2	1,29	2	1	1512
CR4	L	5	21	2	1,29	2	2	1520
CR4	L	5	21	2	1,29	2	3	1533
CR4	M	5	21	2	1,29	2	1	1675
CR4	M	5	21	2	1,29	2	2	1732
CR4	M	5	21	2	1,29	2	3	1796
CR4	H	5	21	2	1,29	2	1	1413
CR4	H	5	21	2	1,29	2	2	1535
CR4	H	5	21	2	1,29	2	3	1496
CR2-CR4	C	5	21	2	1,29	2	1	1288
CR2-CR4	C	5	21	2	1,29	2	2	1101
CR2-CR4	C	5	21	2	1,29	2	3	992
CR2-CR4	L	5	21	2	1,29	2	1	839
CR2-CR4	L	5	21	2	1,29	2	2	694
CR2-CR4	L	5	21	2	1,29	2	3	751
CR2-CR4	M	5	21	2	1,29	2	1	1052
CR2-CR4	M	5	21	2	1,29	2	2	958
CR2-CR4	M	5	21	2	1,29	2	3	1169
CR2-CR4	H	5	21	2	1,29	2	1	845
CR2-CR4	H	5	21	2	1,29	2	2	838
CR2-CR4	H	5	21	2	1,29	2	3	949
CR7-CR4	C	5	21	2	1,29	2	1	2027
CR7-CR4	C	5	21	2	1,29	2	2	1477
CR7-CR4	C	5	21	2	1,29	2	3	1517
CR7-CR4	L	5	21	2	1,29	2	1	1240
CR7-CR4	L	5	21	2	1,29	2	2	1195
CR7-CR4	L	5	21	2	1,29	2	3	1569
CR7-CR4	M	5	21	2	1,29	2	1	1651
CR7-CR4	M	5	21	2	1,29	2	2	1683
CR7-CR4	M	5	21	2	1,29	2	3	1785
CR7-CR4	H	5	21	2	1,29	2	1	1335
CR7-CR4	H	5	21	2	1,29	2	2	1508
CR7-CR4	H	5	21	2	1,29	2	3	1554
CR2	C	5	21	2	1,29	3	1	530
CR2	C	5	21	2	1,29	3	2	649
CR2	C	5	21	2	1,29	3	3	659
CR2	L	5	21	2	1,29	3	1	318
CR2	L	5	21	2	1,29	3	2	229
