Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR2	C	10	21	1	1,29	0	1	369
CR2	C	10	21	1	1,29	0	2	369
CR2	C	10	21	1	1,29	0	3	369
CR2	L	10	21	1	1,29	0	1	369
CR2	L	10	21	1	1,29	0	2	369
CR2	L	10	21	1	1,29	0	3	369
CR2	H	10	21	1	1,29	0	1	369
CR2	H	10	21	1	1,29	0	2	369
CR2	H	10	21	1	1,29	0	3	369
CR4	C	10	21	1	1,29	0	1	369
CR4	C	10	21	1	1,29	0	2	369
CR4	C	10	21	1	1,29	0	3	369
CR4	L	10	21	1	1,29	0	1	369
CR4	L	10	21	1	1,29	0	2	369
CR4	L	10	21	1	1,29	0	3	369
CR4	H	10	21	1	1,29	0	1	369
CR4	H	10	21	1	1,29	0	2	369
CR4	H	10	21	1	1,29	0	3	369
CR2-CR4	C	10	21	1	1,29	0	1	369
CR2-CR4	C	10	21	1	1,29	0	2	369
CR2-CR4	C	10	21	1	1,29	0	3	369
CR2-CR4	L	10	21	1	1,29	0	1	369
CR2-CR4	L	10	21	1	1,29	0	2	369
CR2-CR4	L	10	21	1	1,29	0	3	369
CR2-CR4	H	10	21	1	1,29	0	1	369
CR2-CR4	H	10	21	1	1,29	0	2	369
CR2-CR4	H	10	21	1	1,29	0	3	369
CR2	C	10	21	1	1,29	1	1	187
CR2	C	10	21	1	1,29	1	2	231
CR2	C	10	21	1	1,29	1	3	189
CR2	L	10	21	1	1,29	1	1	629
CR2	L	10	21	1	1,29	1	2	752
CR2	L	10	21	1	1,29	1	3	740
CR2	H	10	21	1	1,29	1	1	648
CR2	H	10	21	1	1,29	1	2	404
CR2	H	10	21	1	1,29	1	3	434
CR4	C	10	21	1	1,29	1	1	1400
CR4	C	10	21	1	1,29	1	2	3181
CR4	C	10	21	1	1,29	1	3	3398
CR4	L	10	21	1	1,29	1	1	1892
CR4	L	10	21	1	1,29	1	2	817
CR4	L	10	21	1	1,29	1	3	579
CR4	H	10	21	1	1,29	1	1	1995
CR4	H	10	21	1	1,29	1	2	2304
CR4	H	10	21	1	1,29	1	3	3236
CR2-CR4	C	10	21	1	1,29	1	1	1682
CR2-CR4	C	10	21	1	1,29	1	2	1330
CR2-CR4	C	10	21	1	1,29	1	3	1244
CR2-CR4	L	10	21	1	1,29	1	1	1404
CR2-CR4	L	10	21	1	1,29	1	2	437
CR2-CR4	L	10	21	1	1,29	1	3	286
CR2-CR4	H	10	21	1	1,29	1	1	1326
CR2-CR4	H	10	21	1	1,29	1	2	1204
CR2-CR4	H	10	21	1	1,29	1	3	1723
CR2	C	10	21	1	1,29	2	1	67
CR2	C	10	21	1	1,29	2	2	1369
CR2	C	10	21	1	1,29	2	3	859
CR2	L	10	21	1	1,29	2	1	151
CR2	L	10	21	1	1,29	2	2	465
CR2	L	10	21	1	1,29	2	3	340
CR2	H	10	21	1	1,29	2	1	688
CR2	H	10	21	1	1,29	2	2	783
CR2	H	10	21	1	1,29	2	3	1128
CR4	C	10	21	1	1,29	2	1	3585
CR4	C	10	21	1	1,29	2	2	3229
CR4	C	10	21	1	1,29	2	3	2783
CR4	L	10	21	1	1,29	2	1	2145
CR4	L	10	21	1	1,29	2	2	1424
CR4	L	10	21	1	1,29	2	3	1952
CR4	H	10	21	1	1,29	2	1	3801
CR4	H	10	21	1	1,29	2	2	2281
CR4	H	10	21	1	1,29	2	3	2506
CR2-CR4	C	10	21	1	1,29	2	1	709
CR2-CR4	C	10	21	1	1,29	2	2	1250
CR2-CR4	C	10	21	1	1,29	2	3	1028
CR2-CR4	L	10	21	1	1,29	2	1	464
CR2-CR4	L	10	21	1	1,29	2	2	1286
CR2-CR4	L	10	21	1	1,29	2	3	1473
CR2-CR4	H	10	21	1	1,29	2	1	1364
CR2-CR4	H	10	21	1	1,29	2	2	1380
CR2-CR4	H	10	21	1	1,29	2	3	1874
CR2	C	10	21	1	1,29	3	1	251
CR2	C	10	21	1	1,29	3	2	1322
CR2	C	10	21	1	1,29	3	3	210
CR2	L	10	21	1	1,29	3	1	89
CR2	L	10	21	1	1,29	3	2	495
CR2	L	10	21	1	1,29	3	3	201
CR2	H	10	21	1	1,29	3	1	357
CR2	H	10	21	1	1,29	3	2	147
CR2	H	10	21	1	1,29	3	3	514
CR4	C	10	21	1	1,29	3	1	3291
CR4	C	10	21	1	1,29	3	2	3370
CR4	C	10	21	1	1,29	3	3	3039
CR4	L	10	21	1	1,29	3	1	1046
CR4	L	10	21	1	1,29	3	2	1053
CR4	L	10	21	1	1,29	3	3	406
CR4	H	10	21	1	1,29	3	1	3738
CR4	H	10	21	1	1,29	3	2	2757
CR4	H	10	21	1	1,29	3	3	2750
CR2-CR4	C	10	21	1	1,29	3	1	1128
CR2-CR4	C	10	21	1	1,29	3	2	1108
CR2-CR4	C	10	21	1	1,29	3	3	957
CR2-CR4	L	10	21	1	1,29	3	1	358
CR2-CR4	L	10	21	1	1,29	3	2	590
CR2-CR4	L	10	21	1	1,29	3	3	598
CR2-CR4	H	10	21	1	1,29	3	1	507
CR2-CR4	H	10	21	1	1,29	3	2	2285
CR2-CR4	H	10	21	1	1,29	3	3	3038
CR2	C	10	21	1	1,29	4	1	762
CR2	C	10	21	1	1,29	4	2	2525
CR2	C	10	21	1	1,29	4	3	1662
CR2	L	10	21	1	1,29	4	1	384
CR2	L	10	21	1	1,29	4	2	718
CR2	L	10	21	1	1,29	4	3	930
CR2	H	10	21	1	1,29	4	1	881
CR2	H	10	21	1	1,29	4	2	207
CR2	H	10	21	1	1,29	4	3	485
CR4	C	10	21	1	1,29	4	1	3160
CR4	C	10	21	1	1,29	4	2	2365
CR4	C	10	21	1	1,29	4	3	3570
CR4	L	10	21	1	1,29	4	1	3041
CR4	L	10	21	1	1,29	4	2	5043
CR4	L	10	21	1	1,29	4	3	3461
CR4	H	10	21	1	1,29	4	1	4600
CR4	H	10	21	1	1,29	4	2	3029
CR4	H	10	21	1	1,29	4	3	3101
CR2-CR4	C	10	21	1	1,29	4	1	1767
CR2-CR4	C	10	21	1	1,29	4	2	2441
CR2-CR4	C	10	21	1	1,29	4	3	2781
CR2-CR4	L	10	21	1	1,29	4	1	1368
CR2-CR4	L	10	21	1	1,29	4	2	1368
CR2-CR4	L	10	21	1	1,29	4	3	2789
CR2-CR4	H	10	21	1	1,29	4	1	878
CR2-CR4	H	10	21	1	1,29	4	2	2967
CR2-CR4	H	10	21	1	1,29	4	3	2491
CR2	C	10	21	1	1,29	5	1	727
CR2	C	10	21	1	1,29	5	2	1003
CR2	C	10	21	1	1,29	5	3	655
CR2	L	10	21	1	1,29	5	1	336
CR2	L	10	21	1	1,29	5	2	376
CR2	L	10	21	1	1,29	5	3	675
CR2	H	10	21	1	1,29	5	1	465
CR2	H	10	21	1	1,29	5	2	797
CR2	H	10	21	1	1,29	5	3	456
CR4	C	10	21	1	1,29	5	1	3067
CR4	C	10	21	1	1,29	5	2	3374
CR4	C	10	21	1	1,29	5	3	3685
CR4	L	10	21	1	1,29	5	1	2005
CR4	L	10	21	1	1,29	5	2	3350
CR4	L	10	21	1	1,29	5	3	3469
CR4	H	10	21	1	1,29	5	1	7400
CR4	H	10	21	1	1,29	5	2	3229
CR4	H	10	21	1	1,29	5	3	2297
CR2-CR4	C	10	21	1	1,29	5	1	1658
CR2-CR4	C	10	21	1	1,29	5	2	2137
CR2-CR4	C	10	21	1	1,29	5	3	1827
CR2-CR4	L	10	21	1	1,29	5	1	1065
CR2-CR4	L	10	21	1	1,29	5	2	1681
CR2-CR4	L	10	21	1	1,29	5	3	1852
CR2-CR4	H	10	21	1	1,29	5	1	952
CR2-CR4	H	10	21	1	1,29	5	2	4227
CR2-CR4	H	10	21	1	1,29	5	3	3600
CR2	C	10	21	1	1,29	6	1	515
CR2	C	10	21	1	1,29	6	2	1558
CR2	C	10	21	1	1,29	6	3	619
CR2	L	10	21	1	1,29	6	1	389
CR2	L	10	21	1	1,29	6	2	610
CR2	L	10	21	1	1,29	6	3	571
CR2	H	10	21	1	1,29	6	1	851
CR2	H	10	21	1	1,29	6	2	646
CR2	H	10	21	1	1,29	6	3	624
CR4	C	10	21	1	1,29	6	1	3705
CR4	C	10	21	1	1,29	6	2	3947
CR4	C	10	21	1	1,29	6	3	3500
CR4	L	10	21	1	1,29	6	1	2525
CR4	L	10	21	1	1,29	6	2	3506
CR4	L	10	21	1	1,29	6	3	4279
CR4	H	10	21	1	1,29	6	1	4150
CR4	H	10	21	1	1,29	6	2	3185
CR4	H	10	21	1	1,29	6	3	2186
CR2-CR4	C	10	21	1	1,29	6	1	1302
