"Strain"	"DensBP"	"ConvP"	"ConvPLSD"	"ConvPUSD"
"CR1"	0	67.5342	54.02736	81.04104
"CR1"	3.2e-05	67.5049	54.00392	81.00588
"CR1"	6.4e-05	67.4756	53.98048	80.97072
"CR1"	0.000156	67.390447	53.9123576	80.8685364
"CR1"	0.000356	67.206727	53.7653816	80.6480724
"CR1"	0.000556	67.023008	53.6184064	80.4276096
"CR1"	0.000951	66.660155	53.328124	79.992186
"CR1"	0.00142	66.228809	52.9830472	79.4745708
"CR1"	0.001914	65.774808	52.6198464	78.9297696
"CR1"	0.00268	65.077262	52.0618096	78.0927144
"CR1"	0.003446	64.379717	51.5037736	77.2556604
"CR1"	0.004329	63.587117	50.8696936	76.3045404
"CR1"	0.005355	62.676831	50.1414648	75.2121972
"CR1"	0.006381	61.766544	49.4132352	74.1198528
"CR1"	0.007541	60.76592	48.612736	72.919104
"CR1"	0.008733	59.743901	47.7951208	71.6926812
"CR1"	0.009935	58.721158	46.9769264	70.4653896
"CR1"	0.011185	57.69489	46.155912	69.233868
"CR1"	0.012435	56.668622	45.3348976	68.0023464
"CR1"	0.013669	55.684043	44.739771	66.8208516
"CR1"	0.01489	54.736152	44.453769	65.6833824
"CR1"	0.016112	53.788261	44.167768	64.5459132
"CR1"	0.017262	52.952878	43.923898	63.5434536
"CR1"	0.018405	52.130888	43.7348	62.5570656
"CR1"	0.019523	51.345605	43.545702	61.614726
"CR1"	0.020571	50.667385	43.42734	60.560847
"CR1"	0.021618	49.989165	43.333945	59.397109
"CR1"	0.022612	49.399084	43.244528	58.233371
"CR1"	0.023572	48.86371	43.242624	57.1889
"CR1"	0.024532	48.328337	43.240721	56.19081
"CR1"	0.025427	47.922833	43.260723	55.231357
"CR1"	0.026321	47.520153	43.321796	54.394254
"CR1"	0.027201	47.158065	43.38287	53.557151
"CR1"	0.028054	46.874625	43.485687	52.833198
"CR1"	0.028907	46.591186	43.610769	52.144977
"CR1"	0.029708	46.387936	43.73585	51.494191
"CR1"	0.030487	46.218706	43.914904	50.939665
"CR1"	0.031276	46.053875	44.096411	50.385139
"CR1"	0.03222	45.953553	44.291417	49.924782
"CR1"	0.033165	45.853232	44.52467	49.487968
"CR1"	0.034112	45.797375	44.757923	49.129709
"CR1"	0.035063	45.801544	45.013208	48.938383
"CR1"	0.036014	45.805714	45.285439	48.747056
"CR1"	0.036967	45.884936	45.557671	48.412111
"CR1"	0.037921	45.984443	45.842088	48.049809
"CR1"	0.038877	46.094872	46.128332	47.741341
"CR1"	0.039845	46.267718	46.412258	47.528577
"CR1"	0.040813	46.440564	46.685168	47.315812
"CR1"	0.041798	46.632943	46.958078	47.223995
"CR1"	0.0428	46.844041	47.21155	47.148672
"CR1"	0.043802	47.055138	47.443818	47.118591
"CR1"	0.044843	47.266828	47.676086	47.156376
"CR1"	0.04589	47.478605	47.856792	47.194161
"CR1"	0.046948	47.681696	48.023175	47.301004
"CR1"	0.048043	47.856361	48.181969	47.413851
"CR1"	0.049137	48.031025	48.261077	47.54154
"CR1"	0.05026	48.162539	48.340185	47.68812
"CR1"	0.051401	48.264772	48.37862	47.834699
"CR1"	0.052542	48.367005	48.353786	47.972273
"CR1"	0.053728	48.370534	48.328952	48.109472
"CR1"	0.054915	48.369676	48.223173	48.221792
"CR1"	0.056119	48.327781	48.081979	48.307161
"CR1"	0.057358	48.198337	47.940786	48.392529
"CR1"	0.058597	48.068894	47.673536	48.386729
"CR1"	0.059877	47.838465	47.406286	48.380929
"CR1"	0.061176	47.560699	47.097884	48.309419
"CR1"	0.062478	47.276076	46.69542	48.177253
"CR1"	0.063836	46.837151	46.292956	48.038907
"CR1"	0.065195	46.398225	46.021542	47.752222
"CR1"	0.066201	46.059235	45.834374	47.465537
"CR1"	0.066685	45.867518	45.647205	47.08404
"CR1"	0.06717	45.6758	45.269	46.628048
"CR1"	0.067975	45.320704	44.872601	46.189903
"CR1"	0.068878	44.915687	44.458485	45.956997
