Strain	Bead	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR1	C	7,5	5	21	1	1,29	1	4422
CR1	C	7,5	5	21	1	1,29	2	4404
CR1	C	7,5	5	21	1	1,29	3	4340
CR1	C	5	5	21	1	1,29	1	2597
CR1	C	5	5	21	1	1,29	2	2467
CR1	C	5	5	21	1	1,29	3	2695
CR1	C	3	5	21	1	1,29	1	1863
CR1	C	3	5	21	1	1,29	2	1898
CR1	C	3	5	21	1	1,29	3	1831
CR1	C	1	5	21	1	1,29	1	573
CR1	C	1	5	21	1	1,29	2	630
CR1	C	1	5	21	1	1,29	3	633
CR1	C	0,5	5	21	1	1,29	1	279
CR1	C	0,5	5	21	1	1,29	2	297
CR1	C	0,5	5	21	1	1,29	3	288
CR1	C	0,2	5	21	1	1,29	1	109
CR1	C	0,2	5	21	1	1,29	2	99
CR1	C	0,2	5	21	1	1,29	3	100
CR2	C	7,5	5	21	1	1,29	1	2966
CR2	C	7,5	5	21	1	1,29	2	3083
CR2	C	7,5	5	21	1	1,29	3	3245
CR2	C	5	5	21	1	1,29	1	1697
CR2	C	5	5	21	1	1,29	2	1717
CR2	C	5	5	21	1	1,29	3	1619
CR2	C	3	5	21	1	1,29	1	1065
CR2	C	3	5	21	1	1,29	2	907
CR2	C	3	5	21	1	1,29	3	942
CR2	C	1	5	21	1	1,29	1	350
CR2	C	1	5	21	1	1,29	2	403
CR2	C	1	5	21	1	1,29	3	397
CR2	C	0,5	5	21	1	1,29	1	212
CR2	C	0,5	5	21	1	1,29	2	186
CR2	C	0,5	5	21	1	1,29	3	193
CR2	C	0,2	5	21	1	1,29	1	71
CR2	C	0,2	5	21	1	1,29	2	56
CR2	C	0,2	5	21	1	1,29	3	60
CR3	C	7,5	5	21	1	1,29	1	3350
CR3	C	7,5	5	21	1	1,29	2	3264
CR3	C	7,5	5	21	1	1,29	3	3300
CR3	C	5	5	21	1	1,29	1	2242
CR3	C	5	5	21	1	1,29	2	2382
CR3	C	5	5	21	1	1,29	3	2282
CR3	C	3	5	21	1	1,29	1	1524
CR3	C	3	5	21	1	1,29	2	1549
CR3	C	3	5	21	1	1,29	3	1485
CR3	C	1	5	21	1	1,29	1	446
CR3	C	1	5	21	1	1,29	2	498
CR3	C	1	5	21	1	1,29	3	443
CR3	C	0,5	5	21	1	1,29	1	287
CR3	C	0,5	5	21	1	1,29	2	278
CR3	C	0,5	5	21	1	1,29	3	246
CR3	C	0,2	5	21	1	1,29	1	104
CR3	C	0,2	5	21	1	1,29	2	82
CR3	C	0,2	5	21	1	1,29	3	95
CR4	C	7,5	5	21	1	1,29	1	6307
CR4	C	7,5	5	21	1	1,29	2	6516
CR4	C	7,5	5	21	1	1,29	3	6184
CR4	C	5	5	21	1	1,29	1	4358
CR4	C	5	5	21	1	1,29	2	4588
CR4	C	5	5	21	1	1,29	3	4440
CR4	C	3	5	21	1	1,29	1	1924
CR4	C	3	5	21	1	1,29	2	1793
CR4	C	3	5	21	1	1,29	3	1833
CR4	C	1	5	21	1	1,29	1	646
CR4	C	1	5	21	1	1,29	2	729
CR4	C	1	5	21	1	1,29	3	747
CR4	C	0,5	5	21	1	1,29	1	314
CR4	C	0,5	5	21	1	1,29	2	336
CR4	C	0,5	5	21	1	1,29	3	333
CR4	C	0,2	5	21	1	1,29	1	150
CR4	C	0,2	5	21	1	1,29	2	172
CR4	C	0,2	5	21	1	1,29	3	123
CR5	C	7,5	5	21	1	1,29	1	6872
CR5	C	7,5	5	21	1	1,29	2	6855
CR5	C	7,5	5	21	1	1,29	3	6884
CR5	C	5	5	21	1	1,29	1	4491
CR5	C	5	5	21	1	1,29	2	4230
CR5	C	5	5	21	1	1,29	3	4480
CR5	C	3	5	21	1	1,29	1	2383
CR5	C	3	5	21	1	1,29	2	2224
CR5	C	3	5	21	1	1,29	3	2401
CR5	C	1	5	21	1	1,29	1	664
CR5	C	1	5	21	1	1,29	2	570
CR5	C	1	5	21	1	1,29	3	582
CR5	C	0,5	5	21	1	1,29	1	290
CR5	C	0,5	5	21	1	1,29	2	227
CR5	C	0,5	5	21	1	1,29	3	187
CR5	C	0,2	5	21	1	1,29	1	116
CR5	C	0,2	5	21	1	1,29	2	45
CR5	C	0,2	5	21	1	1,29	3	58
CR6	C	7,5	5	21	1	1,29	1	7637
CR6	C	7,5	5	21	1	1,29	2	7880
CR6	C	7,5	5	21	1	1,29	3	6905
CR6	C	5	5	21	1	1,29	1	5112
CR6	C	5	5	21	1	1,29	2	5400
CR6	C	5	5	21	1	1,29	3	5199
CR6	C	3	5	21	1	1,29	1	3085
CR6	C	3	5	21	1	1,29	2	2928
CR6	C	3	5	21	1	1,29	3	3086
CR6	C	1	5	21	1	1,29	1	1052
CR6	C	1	5	21	1	1,29	2	925
CR6	C	1	5	21	1	1,29	3	1078
CR6	C	0,5	5	21	1	1,29	1	407
CR6	C	0,5	5	21	1	1,29	2	419
CR6	C	0,5	5	21	1	1,29	3	362
CR6	C	0,2	5	21	1	1,29	1	153
CR6	C	0,2	5	21	1	1,29	2	80
CR6	C	0,2	5	21	1	1,29	3	73
CR1	L	7,5	5	21	1	1,29	1	3985
