"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"	"IngesPLCI"	"IngesPUCI"
"CR1"	"C"	0.1	0.0021	0.00168	0.00252	0.00168	0.00252
"CR1"	"C"	0.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR1"	"C"	0.3	0.0061	0.00488	0.00732	0.00488	0.00732
"CR1"	"C"	0.4	0.008	0.0064	0.0096	0.0064	0.0096
"CR1"	"C"	0.5	0.0099	0.00792	0.01188	0.00792	0.01188
"CR1"	"C"	0.6	0.0118	0.00944	0.01416	0.00944	0.01416
"CR1"	"C"	0.7	0.0136	0.01088	0.01632	0.01088	0.01632
"CR1"	"C"	0.8	0.0155	0.0124	0.0186	0.0124	0.0186
"CR1"	"C"	0.9	0.0172	0.01376	0.02064	0.01376	0.02064
"CR1"	"C"	1	0.019	0.0152	0.0228	0.0152	0.0228
"CR1"	"C"	1.1	0.0207	0.01656	0.02484	0.01656	0.02484
"CR1"	"C"	1.2	0.0224	0.01792	0.02688	0.01792	0.02688
"CR1"	"C"	1.3	0.024	0.0192	0.0288	0.0192	0.0288
"CR1"	"C"	1.4	0.0256	0.02048	0.03072	0.02048	0.03072
"CR1"	"C"	1.5	0.0272	0.02176	0.03264	0.02176	0.03264
"CR1"	"C"	1.6	0.0288	0.02304	0.03456	0.02304	0.03456
"CR1"	"C"	1.7	0.0303	0.02424	0.03636	0.02424	0.03636
"CR1"	"C"	1.8	0.0318	0.02544	0.03816	0.02544	0.03816
"CR1"	"C"	1.9	0.0333	0.02664	0.03996	0.02664	0.03996
"CR1"	"C"	2	0.0348	0.02784	0.04176	0.02784	0.04176
"CR1"	"C"	2.1	0.0362	0.02896	0.04344	0.02896	0.04344
"CR1"	"C"	2.2	0.0376	0.03008	0.04512	0.03008	0.04512
"CR1"	"C"	2.3	0.039	0.0312	0.0468	0.0312	0.0468
"CR1"	"C"	2.4	0.0404	0.03232	0.04848	0.03232	0.04848
"CR1"	"C"	2.5	0.0417	0.03336	0.05004	0.03336	0.05004
"CR1"	"C"	2.6	0.0431	0.03448	0.05172	0.03448	0.05172
"CR1"	"C"	2.7	0.0444	0.03552	0.05328	0.03552	0.05328
"CR1"	"C"	2.8	0.0457	0.03656	0.05484	0.03656	0.05484
"CR1"	"C"	2.9	0.0469	0.03752	0.05628	0.03752	0.05628
"CR1"	"C"	3	0.0482	0.03856	0.05784	0.03856	0.05784
"CR1"	"C"	3.1	0.0494	0.03952	0.05928	0.03952	0.05928
"CR1"	"C"	3.2	0.0506	0.04048	0.06072	0.04048	0.06072
"CR1"	"C"	3.3	0.0518	0.04144	0.06216	0.04144	0.06216
"CR1"	"C"	3.4	0.053	0.0424	0.0636	0.0424	0.0636
"CR1"	"C"	3.5	0.0541	0.04328	0.06492	0.04328	0.06492
"CR1"	"C"	3.6	0.0553	0.04424	0.06636	0.04424	0.06636
"CR1"	"C"	3.7	0.0564	0.04512	0.06768	0.04512	0.06768
"CR1"	"C"	3.8	0.0575	0.046	0.069	0.046	0.069
"CR1"	"C"	3.9	0.0586	0.04688	0.07032	0.04688	0.07032
"CR1"	"C"	4	0.0596	0.0478	0.0715	0.04768	0.07152
"CR1"	"C"	4.1	0.0607	0.0489	0.0725	0.04856	0.07284
"CR1"	"C"	4.2	0.0617	0.05	0.0735	0.04936	0.07404
"CR1"	"C"	4.3	0.0628	0.051	0.0745	0.05024	0.07536
"CR1"	"C"	4.4	0.0638	0.052	0.0756	0.05104	0.07656
"CR1"	"C"	4.5	0.0648	0.0529	0.0766	0.05184	0.07776
"CR1"	"C"	4.6	0.0658	0.0538	0.0777	0.05264	0.07896
"CR1"	"C"	4.7	0.0667	0.0546	0.0788	0.05336	0.08004
"CR1"	"C"	4.8	0.0677	0.0554	0.08	0.05416	0.08124
"CR1"	"C"	4.9	0.0687	0.0562	0.0811	0.05496	0.08244
"CR1"	"C"	5	0.0696	0.0569	0.0823	0.05568	0.08352
"CR1"	"C"	5.1	0.0705	0.0575	0.0835	0.0564	0.0846
"CR1"	"C"	5.2	0.0714	0.0581	0.0848	0.05712	0.08568
"CR1"	"C"	5.3	0.0723	0.0586	0.086	0.05784	0.08676
"CR1"	"C"	5.4	0.0732	0.0591	0.0873	0.05856	0.08784
"CR1"	"C"	5.5	0.0741	0.0596	0.0886	0.05928	0.08892
"CR1"	"C"	5.6	0.0749	0.06	0.08988	0.05992	0.08988
"CR1"	"C"	5.7	0.0758	0.06064	0.09096	0.06064	0.09096
"CR1"	"C"	5.8	0.0766	0.06128	0.09192	0.06128	0.09192
"CR1"	"C"	5.9	0.0775	0.062	0.093	0.062	0.093
"CR1"	"C"	6	0.0783	0.06264	0.09396	0.06264	0.09396
"CR1"	"C"	6.1	0.0791	0.06328	0.09492	0.06328	0.09492
"CR1"	"C"	6.2	0.0799	0.06392	0.09588	0.06392	0.09588
"CR1"	"C"	6.3	0.0807	0.06456	0.09684	0.06456	0.09684
"CR1"	"C"	6.4	0.0815	0.0652	0.0978	0.0652	0.0978
"CR1"	"C"	6.5	0.0823	0.06584	0.09876	0.06584	0.09876
"CR1"	"C"	6.6	0.083	0.0664	0.0996	0.0664	0.0996
"CR1"	"C"	6.7	0.0838	0.06704	0.10056	0.06704	0.10056
"CR1"	"C"	6.8	0.0845	0.0676	0.1014	0.0676	0.1014
"CR1"	"C"	6.9	0.0853	0.06824	0.10236	0.06824	0.10236
"CR1"	"C"	7	0.086	0.0688	0.1032	0.0688	0.1032
"CR1"	"C"	7.1	0.0867	0.06936	0.10404	0.06936	0.10404
"CR1"	"C"	7.2	0.0874	0.06992	0.10488	0.06992	0.10488
"CR1"	"C"	7.3	0.0881	0.07048	0.10572	0.07048	0.10572
"CR1"	"C"	7.4	0.0888	0.07104	0.10656	0.07104	0.10656
"CR1"	"C"	7.5	0.0895	0.0716	0.1074	0.0716	0.1074
"CR1"	"C"	7.6	0.0902	0.07216	0.10824	0.07216	0.10824
"CR1"	"C"	7.7	0.0908	0.07264	0.10896	0.07264	0.10896
"CR1"	"C"	7.8	0.0915	0.0732	0.1098	0.0732	0.1098
"CR1"	"C"	7.9	0.0922	0.07376	0.11064	0.07376	0.11064
"CR1"	"C"	8	0.0928	0.07424	0.11136	0.07424	0.11136
"CR1"	"C"	8.1	0.0935	0.0748	0.1122	0.0748	0.1122
"CR1"	"C"	8.2	0.0941	0.07528	0.11292	0.07528	0.11292
"CR1"	"C"	8.3	0.0947	0.07576	0.11364	0.07576	0.11364
"CR1"	"C"	8.4	0.0953	0.07624	0.11436	0.07624	0.11436
"CR1"	"C"	8.5	0.096	0.0768	0.1152	0.0768	0.1152
"CR1"	"C"	8.6	0.0966	0.07728	0.11592	0.07728	0.11592
"CR1"	"C"	8.7	0.0972	0.07776	0.11664	0.07776	0.11664
"CR1"	"C"	8.8	0.0978	0.07824	0.11736	0.07824	0.11736
"CR1"	"C"	8.9	0.0983	0.07864	0.11796	0.07864	0.11796
"CR1"	"C"	9	0.0989	0.07912	0.11868	0.07912	0.11868
"CR1"	"C"	9.1	0.0995	0.0796	0.1194	0.0796	0.1194
"CR1"	"C"	9.2	0.1001	0.08008	0.12012	0.08008	0.12012
"CR1"	"C"	9.3	0.1006	0.08048	0.12072	0.08048	0.12072
"CR1"	"C"	9.4	0.1012	0.08096	0.12144	0.08096	0.12144
