Strain	Bead	Day	Dilu	Trial	Count
CR2	C	0	3	1	3
CR2	C	0	3	2	3
CR2	C	0	3	3	3
CR2	L	0	3	1	3
CR2	L	0	3	2	3
CR2	L	0	3	3	3
CR2	H	0	3	1	3
CR2	H	0	3	2	3
CR2	H	0	3	3	3
CR4	C	0	3	1	3
CR4	C	0	3	2	3
CR4	C	0	3	3	3
CR4	L	0	3	1	3
CR4	L	0	3	2	3
CR4	L	0	3	3	3
CR4	H	0	3	1	3
CR4	H	0	3	2	3
CR4	H	0	3	3	3
CR2-CR4	C	0	3	1	3
CR2-CR4	C	0	3	2	3
CR2-CR4	C	0	3	3	3
CR2-CR4	L	0	3	1	3
CR2-CR4	L	0	3	2	3
CR2-CR4	L	0	3	3	3
CR2-CR4	H	0	3	1	3
CR2-CR4	H	0	3	2	3
CR2-CR4	H	0	3	3	3
CR2	C	1	3	1	10
CR2	C	1	3	2	0
CR2	C	1	3	3	4
CR2	L	1	3	1	0
CR2	L	1	3	2	0
CR2	L	1	3	3	1
CR2	H	1	3	1	2
CR2	H	1	3	2	1
CR2	H	1	3	3	2
CR4	C	1	3	1	1
CR4	C	1	3	2	4
CR4	C	1	3	3	3
CR4	L	1	3	1	7
CR4	L	1	3	2	0
CR4	L	1	3	3	0
CR4	H	1	3	1	4
CR4	H	1	3	2	2
CR4	H	1	3	3	4
CR2-CR4	C	1	3	1	15
CR2-CR4	C	1	3	2	8
CR2-CR4	C	1	3	3	17
CR2-CR4	L	1	3	1	1
CR2-CR4	L	1	3	2	1
CR2-CR4	L	1	3	3	0
CR2-CR4	H	1	3	1	5
CR2-CR4	H	1	3	2	3
CR2-CR4	H	1	3	3	3
CR2	C	2	3	1	21
CR2	C	2	3	2	1
CR2	C	2	3	3	3
CR2	L	2	3	1	1
CR2	L	2	3	2	0
CR2	L	2	3	3	1
CR2	H	2	3	1	1
CR2	H	2	3	2	2
CR2	H	2	3	3	4
CR4	C	2	3	1	2
CR4	C	2	3	2	7
CR4	C	2	3	3	4
CR4	L	2	3	1	3
CR4	L	2	3	2	1
CR4	L	2	3	3	1
CR4	H	2	3	1	4
CR4	H	2	3	2	8
CR4	H	2	3	3	2
CR2-CR4	C	2	3	1	31
CR2-CR4	C	2	3	2	9
CR2-CR4	C	2	3	3	26
CR2-CR4	L	2	3	1	3
CR2-CR4	L	2	3	2	3
CR2-CR4	L	2	3	3	3
CR2-CR4	H	2	3	1	6
CR2-CR4	H	2	3	2	3
CR2-CR4	H	2	3	3	4
CR2	C	3	3	1	34
CR2	C	3	3	2	1
CR2	C	3	3	3	7
CR2	L	3	3	1	2
CR2	L	3	3	2	1
CR2	L	3	3	3	1
CR2	H	3	3	1	4
CR2	H	3	3	2	0
CR2	H	3	3	3	4
CR4	C	3	3	1	0
CR4	C	3	3	2	9
CR4	C	3	3	3	2
CR4	L	3	3	1	11
CR4	L	3	3	2	2
CR4	L	3	3	3	1
CR4	H	3	3	1	4
CR4	H	3	3	2	11
CR4	H	3	3	3	4
CR2-CR4	C	3	3	1	38
CR2-CR4	C	3	3	2	13
CR2-CR4	C	3	3	3	46
CR2-CR4	L	3	3	1	3
CR2-CR4	L	3	3	2	3
CR2-CR4	L	3	3	3	3
CR2-CR4	H	3	3	1	10
CR2-CR4	H	3	3	2	5
CR2-CR4	H	3	3	3	5
CR2	C	4	3	1	52
CR2	C	4	3	2	1
CR2	C	4	3	3	10
CR2	L	4	3	1	3
CR2	L	4	3	2	2
CR2	L	4	3	3	0
CR2	H	4	3	1	3
CR2	H	4	3	2	0
CR2	H	4	3	3	7
CR4	C	4	3	1	0
