"Strain"	"Bead"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR1"	"C"	0	4.4475	3.558	5.337	3.558	5.337	"Logistic"
"CR1"	"C"	0.1	4.5822	3.66576	5.49864	3.66576	5.49864	"Logistic"
"CR1"	"C"	0.2	4.7179	3.77432	5.66148	3.77432	5.66148	"Logistic"
"CR1"	"C"	0.3	4.8545	3.8836	5.8254	3.8836	5.8254	"Logistic"
"CR1"	"C"	0.4	4.9916	3.99328	5.98992	3.99328	5.98992	"Logistic"
"CR1"	"C"	0.5	5.1293	4.10344	6.15516	4.10344	6.15516	"Logistic"
"CR1"	"C"	0.6	5.2672	4.21376	6.32064	4.21376	6.32064	"Logistic"
"CR1"	"C"	0.7	5.4052	4.32416	6.48624	4.32416	6.48624	"Logistic"
"CR1"	"C"	0.8	5.5432	4.43456	6.65184	4.43456	6.65184	"Logistic"
"CR1"	"C"	0.9	5.6808	4.54464	6.81696	4.54464	6.81696	"Logistic"
"CR1"	"C"	1	5.818	4.6544	6.9816	4.6544	6.9816	"Logistic"
"CR1"	"C"	1.1	5.9546	4.76368	7.14552	4.76368	7.14552	"Logistic"
"CR1"	"C"	1.2	6.0903	4.87224	7.30836	4.87224	7.30836	"Logistic"
"CR1"	"C"	1.3	6.2251	4.98008	7.47012	4.98008	7.47012	"Logistic"
"CR1"	"C"	1.4	6.3588	5.08704	7.63056	5.08704	7.63056	"Logistic"
"CR1"	"C"	1.5	6.4911	5.19288	7.78932	5.19288	7.78932	"Logistic"
"CR1"	"C"	1.6	6.6219	5.29752	7.94628	5.29752	7.94628	"Logistic"
"CR1"	"C"	1.7	6.7512	5.40096	8.10144	5.40096	8.10144	"Logistic"
"CR1"	"C"	1.8	6.8787	5.50296	8.25444	5.50296	8.25444	"Logistic"
"CR1"	"C"	1.9	7.0043	5.60344	8.40516	5.60344	8.40516	"Logistic"
"CR1"	"C"	2	7.1279	5.70232	8.55348	5.70232	8.55348	"Logistic"
"CR1"	"C"	2.1	7.2493	5.79944	8.69916	5.79944	8.69916	"Logistic"
"CR1"	"C"	2.2	7.3686	5.89488	8.84232	5.89488	8.84232	"Logistic"
"CR1"	"C"	2.3	7.4855	5.9884	8.9826	5.9884	8.9826	"Logistic"
