Strain	Bead	Day	Dilu	Trial	Count
CR2	C	0	3	1	3
CR2	C	0	3	2	3
CR2	C	0	3	3	3
CR2	L	0	3	1	3
CR2	L	0	3	2	3
CR2	L	0	3	3	3
CR2	M	0	3	1	3
CR2	M	0	3	2	3
CR2	M	0	3	3	3
CR2	H	0	3	1	3
CR2	H	0	3	2	3
CR2	H	0	3	3	3
CR4	C	0	3	1	3
CR4	C	0	3	2	3
CR4	C	0	3	3	3
CR4	L	0	3	1	3
CR4	L	0	3	2	3
CR4	L	0	3	3	3
CR4	M	0	3	1	3
CR4	M	0	3	2	3
CR4	M	0	3	3	3
CR4	H	0	3	1	3
CR4	H	0	3	2	3
CR4	H	0	3	3	3
CR2-CR4	C	0	3	1	3
CR2-CR4	C	0	3	2	3
CR2-CR4	C	0	3	3	3
CR2-CR4	L	0	3	1	3
CR2-CR4	L	0	3	2	3
CR2-CR4	L	0	3	3	3
CR2-CR4	M	0	3	1	3
CR2-CR4	M	0	3	2	3
CR2-CR4	M	0	3	3	3
CR2-CR4	H	0	3	1	3
CR2-CR4	H	0	3	2	3
CR2-CR4	H	0	3	3	3
CR7-CR4	C	0	3	1	3
CR7-CR4	C	0	3	2	3
CR7-CR4	C	0	3	3	3
CR7-CR4	L	0	3	1	3
CR7-CR4	L	0	3	2	3
CR7-CR4	L	0	3	3	3
CR7-CR4	M	0	3	1	3
CR7-CR4	M	0	3	2	3
CR7-CR4	M	0	3	3	3
CR7-CR4	H	0	3	1	3
CR7-CR4	H	0	3	2	3
CR7-CR4	H	0	3	3	3
CR2	C	1	3	1	0
CR2	C	1	3	2	0
CR2	C	1	3	3	2
CR2	L	1	3	1	2
CR2	L	1	3	2	3
CR2	L	1	3	3	1
CR2	M	1	3	1	2
CR2	M	1	3	2	0
CR2	M	1	3	3	0
CR2	H	1	3	1	0
CR2	H	1	3	2	0
CR2	H	1	3	3	0
CR4	C	1	3	1	0
CR4	C	1	3	2	1
CR4	C	1	3	3	3
CR4	L	1	3	1	3
CR4	L	1	3	2	5
CR4	L	1	3	3	1
CR4	M	1	3	1	3
CR4	M	1	3	2	2
CR4	M	1	3	3	0
CR4	H	1	3	1	0
CR4	H	1	3	2	0
CR4	H	1	3	3	0
CR2-CR4	C	1	3	1	3
CR2-CR4	C	1	3	2	0
CR2-CR4	C	1	3	3	3
CR2-CR4	L	1	3	1	2
CR2-CR4	L	1	3	2	0
CR2-CR4	L	1	3	3	4
CR2-CR4	M	1	3	1	0
CR2-CR4	M	1	3	2	4
CR2-CR4	M	1	3	3	1
CR2-CR4	H	1	3	1	0
CR2-CR4	H	1	3	2	0
CR2-CR4	H	1	3	3	0
CR7-CR4	C	1	3	1	2
CR7-CR4	C	1	3	2	3
CR7-CR4	C	1	3	3	3
CR7-CR4	L	1	3	1	2
CR7-CR4	L	1	3	2	2
CR7-CR4	L	1	3	3	0
CR7-CR4	M	1	3	1	3
CR7-CR4	M	1	3	2	2
CR7-CR4	M	1	3	3	1
CR7-CR4	H	1	3	1	1
CR7-CR4	H	1	3	2	1
CR7-CR4	H	1	3	3	0
CR2	C	2	3	1	1
CR2	C	2	3	2	0
CR2	C	2	3	3	0
CR2	L	2	3	1	2
CR2	L	2	3	2	1
CR2	L	2	3	3	0
CR2	M	2	3	1	0
CR2	M	2	3	2	0
CR2	M	2	3	3	0
CR2	H	2	3	1	0
CR2	H	2	3	2	0
CR2	H	2	3	3	0
CR4	C	2	3	1	1
CR4	C	2	3	2	1
CR4	C	2	3	3	1
CR4	L	2	3	1	7
CR4	L	2	3	2	0
CR4	L	2	3	3	2
