"Strain"	"DensBP"	"ConvP"
"CR1"	0	72.7536
"CR1"	0	72.7187
"CR1"	2e-04	72.4905
"CR1"	6e-04	71.9191
"CR1"	0.0012	70.9048
"CR1"	0.0022	69.4037
"CR1"	0.0035	67.4179
"CR1"	0.0052	64.998
"CR1"	0.007	62.2382
"CR1"	0.0091	59.2568
"CR1"	0.0112	56.1748
"CR1"	0.0133	53.0995
"CR1"	0.0154	50.1145
"CR1"	0.0174	47.2769
"CR1"	0.0193	44.619
"CR1"	0.0211	42.1525
"CR1"	0.0228	39.8741
"CR1"	0.0244	37.7701
"CR1"	0.026	35.8201
"CR1"	0.0274	34.0008
"CR1"	0.0289	32.2877
"CR1"	0.0303	30.6575
"CR1"	0.0312	29.6529
"CR1"	0.0327	28.1012
"CR1"	0.0341	26.5964
"CR1"	0.0355	25.1349
"CR1"	0.037	23.7162
"CR1"	0.0384	22.3415
"CR1"	0.0399	21.0107
"CR1"	0.0414	19.7241
"CR1"	0.0429	18.4837
"CR1"	0.0445	17.2926
"CR1"	0.0461	16.1543
"CR1"	0.0477	15.0719
"CR1"	0.0494	14.0477
"CR1"	0.0511	13.0825
"CR1"	0.0528	12.175
"CR1"	0.0546	11.322
"CR1"	0.0565	10.5178
"CR1"	0.0584	9.7545
"CR1"	0.0603	9.0235
"CR1"	0.0623	8.3252
"CR1"	0.0644	7.6625
"CR1"	0.0665	7.037
"CR1"	0.0673	6.8047
"CR1"	0.0691	6.3361
"CR1"	0.0709	5.8921
"CR1"	0.0728	5.471
"CR1"	0.0748	5.0704
"CR1"	0.0769	4.6874
"CR1"	0.0791	4.319
"CR1"	0.0815	3.9624
"CR1"	0.084	3.6152
"CR1"	0.0867	3.2755
"CR1"	0.0895	2.9421
"CR1"	0.0925	2.6147
"CR1"	0.0957	2.2937
"CR1"	0.099	1.981
"CR1"	0.1024	1.6792
"CR1"	0.1058	1.3919
"CR1"	0.1091	1.1237
"CR1"	0.1123	0.8792
"CR1"	0.1152	0.6629
"CR1"	0.1178	0.478
"CR1"	0.1201	0.3263
"CR1"	0.1219	0.2071
"CR1"	0.1232	0.1178
"CR1"	0.1241	0.0566
"CR1"	0.1247	0.0204
"CR1"	0.1249	0.004
"CR1"	0.125	1e-04
"CR1"	0.125	0
"CR2"	0	58.7428
"CR2"	0	58.7142
"CR2"	2e-04	58.528
"CR2"	6e-04	58.0637
"CR2"	0.0014	57.2447
"CR2"	0.0025	56.0413
"CR2"	0.004	54.4608
"CR2"	0.0057	52.5526
"CR2"	0.0077	50.3997
"CR2"	0.0099	48.1005
"CR2"	0.0121	45.7505
"CR2"	0.0143	43.4297
"CR2"	0.0165	41.1961
"CR2"	0.0185	39.0854
"CR2"	0.0205	37.1139
"CR2"	0.0223	35.2827
"CR2"	0.024	33.5824
"CR2"	0.0256	31.9966
"CR2"	0.0272	30.5055
"CR2"	0.0287	29.0877
"CR2"	0.0302	27.7232
"CR2"	0.0312	26.7925
"CR2"	0.0327	25.5187
"CR2"	0.0341	24.2653
"CR2"	0.0356	23.0303
"CR2"	0.037	21.814
"CR2"	0.0385	20.6185
"CR2"	0.0399	19.4443
"CR2"	0.0414	18.2925
"CR2"	0.043	17.166
"CR2"	0.0445	16.0688
"CR2"	0.0461	15.0058
"CR2"	0.0478	13.9816
"CR2"	0.0495	13.0005
"CR2"	0.0512	12.0654
"CR2"	0.053	11.1777
"CR2"	0.0548	10.3369
"CR2"	0.0566	9.5403
"CR2"	0.0585	8.7829
"CR2"	0.0605	8.0596
"CR2"	0.0625	7.3719
"CR2"	0.0645	6.7229
"CR2"	0.0667	6.1141
"CR2"	0.0673	5.9441
"CR2"	0.0691	5.4912
"CR2"	0.0709	5.0649
"CR2"	0.0728	4.664
"CR2"	0.0748	4.2861
"CR2"	0.0769	3.9287
"CR2"	0.0791	3.589
"CR2"	0.0815	3.2643
"CR2"	0.084	2.9525
"CR2"	0.0867	2.6519
"CR2"	0.0895	2.3611
"CR2"	0.0925	2.0798
"CR2"	0.0957	1.8084
"CR2"	0.099	1.5478
"CR2"	0.1024	1.3002
"CR2"	0.1058	1.068
"CR2"	0.1091	0.8546
"CR2"	0.1123	0.6629
"CR2"	0.1152	0.4959
"CR2"	0.1178	0.3553
"CR2"	0.1201	0.2416
"CR2"	0.1219	0.1531
"CR2"	0.1232	0.087
"CR2"	0.1241	0.0417
"CR2"	0.1247	0.015
"CR2"	0.1249	0.0029
"CR2"	0.125	0
"CR2"	0.125	0
"CR3"	0	74.3142
"CR3"	0	74.302
"CR3"	2e-04	74.223
"CR3"	7e-04	74.0267
"CR3"	0.0015	73.6825
"CR3"	0.0028	73.1761
"CR3"	0.0044	72.4952
"CR3"	0.0063	71.646
"CR3"	0.0084	70.6523
"CR3"	0.0107	69.5475
"CR3"	0.013	68.3656
"CR3"	0.0153	67.1351
"CR3"	0.0175	65.8754
"CR3"	0.0195	64.5956
"CR3"	0.0215	63.2959
"CR3"	0.0233	61.9685
"CR3"	0.025	60.5997
"CR3"	0.0267	59.172
"CR3"	0.0283	57.666
"CR3"	0.0298	56.0634
"CR3"	0.0312	54.5325
"CR3"	0.0326	52.9491
"CR3"	0.0339	51.2792
"CR3"	0.0353	49.5247
"CR3"	0.0367	47.6905
"CR3"	0.038	45.7838
"CR3"	0.0394	43.8104
"CR3"	0.0408	41.7743
"CR3"	0.0422	39.6836
"CR3"	0.0436	37.5497
"CR3"	0.0451	35.387
"CR3"	0.0466	33.212
"CR3"	0.0482	31.0423
"CR3"	0.0498	28.8955
"CR3"	0.0514	26.7886
"CR3"	0.0531	24.7365
"CR3"	0.0548	22.7514
"CR3"	0.0565	20.8422
"CR3"	0.0583	19.0142
"CR3"	0.0601	17.2693
"CR3"	0.062	15.6144
"CR3"	0.0639	14.0564
"CR3"	0.0659	12.6001
"CR3"	0.0673	11.6482
"CR3"	0.0691	10.5415
"CR3"	0.0709	9.5133
"CR3"	0.0728	8.5611
"CR3"	0.0748	7.6803
"CR3"	0.0769	6.8651
"CR3"	0.0791	6.1093
"CR3"	0.0814	5.4073
"CR3"	0.0839	4.7541
"CR3"	0.0866	4.1456
"CR3"	0.0895	3.5791
"CR3"	0.0925	3.0527
"CR3"	0.0956	2.5661
"CR3"	0.0989	2.1199
"CR3"	0.1023	1.7158
"CR3"	0.1057	1.3559
"CR3"	0.109	1.0425
"CR3"	0.1122	0.7772
"CR3"	0.1151	0.56
"CR3"	0.1177	0.389
"CR3"	0.12	0.2597
"CR3"	0.1218	0.1643
"CR3"	0.1232	0.0941
"CR3"	0.1241	0.0457
"CR3"	0.1247	0.0168
"CR3"	0.1249	0.0035
"CR3"	0.125	1e-04
"CR3"	0.125	0
"CR4"	0	105.2653
"CR4"	0	105.2474
"CR4"	2e-04	105.1311
"CR4"	6e-04	104.8413
"CR4"	0.0014	104.3306
"CR4"	0.0025	103.5777
"CR4"	0.004	102.5666
"CR4"	0.0058	101.3052
"CR4"	0.0079	99.8274
"CR4"	0.01	98.1821
"CR4"	0.0123	96.4216
"CR4"	0.0145	94.5913
"CR4"	0.0167	92.7248
"CR4"	0.0187	90.8414
"CR4"	0.0206	88.947
"CR4"	0.0224	87.0357
"CR4"	0.0242	85.0929
"CR4"	0.0258	83.0971
"CR4"	0.0274	81.0232
"CR4"	0.0289	78.845
"CR4"	0.0304	76.54
"CR4"	0.0312	75.1964
"CR4"	0.0325	73.0602
"CR4"	0.0338	70.8211
"CR4"	0.035	68.4808
"CR4"	0.0363	66.0443
"CR4"	0.0376	63.5196
"CR4"	0.0389	60.9145
"CR4"	0.0402	58.2335
"CR4"	0.0415	55.4841
"CR4"	0.0428	52.6783
"CR4"	0.0442	49.8312
"CR4"	0.0456	46.9608
"CR4"	0.047	44.0867
"CR4"	0.0485	41.2297
"CR4"	0.05	38.41
"CR4"	0.0515	35.6468
"CR4"	0.0531	32.9568
"CR4"	0.0547	30.3538
