Strain	Bead	Day	Trial	Count	Eggs
CR1	C	0	1	5	0
CR1	C	0	2	5	0
CR1	C	0	3	5	0
CR1	C	0	4	5	0
CR1	C	0	5	5	0
CR1	L	0	1	5	0
CR1	L	0	2	5	0
CR1	L	0	3	5	0
CR1	L	0	4	5	0
CR1	L	0	5	5	0
CR1	M	0	1	5	0
CR1	M	0	2	5	0
CR1	M	0	3	5	0
CR1	M	0	4	5	0
CR1	M	0	5	5	0
CR1	H	0	1	5	0
CR1	H	0	2	5	0
CR1	H	0	3	5	0
CR1	H	0	4	5	0
CR1	H	0	5	5	0
CR2	C	0	1	5	0
CR2	C	0	2	5	0
CR2	C	0	3	5	0
CR2	C	0	4	5	0
CR2	C	0	5	5	0
CR2	L	0	1	5	0
CR2	L	0	2	5	0
CR2	L	0	3	5	0
CR2	L	0	4	5	0
CR2	L	0	5	5	0
CR2	M	0	1	5	0
CR2	M	0	2	5	0
CR2	M	0	3	5	0
CR2	M	0	4	5	0
CR2	M	0	5	5	0
CR2	H	0	1	5	0
CR2	H	0	2	5	0
CR2	H	0	3	5	0
CR2	H	0	4	5	0
CR2	H	0	5	5	0
CR3	C	0	1	5	0
CR3	C	0	2	5	0
CR3	C	0	3	5	0
CR3	C	0	4	5	0
CR3	C	0	5	5	0
CR3	L	0	1	5	0
CR3	L	0	2	5	0
CR3	L	0	3	5	0
CR3	L	0	4	5	0
CR3	L	0	5	5	0
CR3	M	0	1	5	0
CR3	M	0	2	5	0
CR3	M	0	3	5	0
CR3	M	0	4	5	0
CR3	M	0	5	5	0
CR3	H	0	1	5	0
CR3	H	0	2	5	0
CR3	H	0	3	5	0
CR3	H	0	4	5	0
CR3	H	0	5	5	0
CR4	C	0	1	5	0
CR4	C	0	2	5	0
CR4	C	0	3	5	0
CR4	C	0	4	5	0
CR4	C	0	5	5	0
CR4	L	0	1	5	0
CR4	L	0	2	5	0
CR4	L	0	3	5	0
CR4	L	0	4	5	0
CR4	L	0	5	5	0
CR4	M	0	1	5	0
CR4	M	0	2	5	0
CR4	M	0	3	5	0
CR4	M	0	4	5	0
CR4	M	0	5	5	0
CR4	H	0	1	5	0
CR4	H	0	2	5	0
CR4	H	0	3	5	0
CR4	H	0	4	5	0
CR4	H	0	5	5	0
CR5	C	0	1	5	0
CR5	C	0	2	5	0
CR5	C	0	3	5	0
CR5	C	0	4	5	0
CR5	C	0	5	5	0
CR5	L	0	1	5	0
CR5	L	0	2	5	0
CR5	L	0	3	5	0
CR5	L	0	4	5	0
CR5	L	0	5	5	0
CR5	M	0	1	5	0
CR5	M	0	2	5	0
CR5	M	0	3	5	0
CR5	M	0	4	5	0
CR5	M	0	5	5	0
CR5	H	0	1	5	0
CR5	H	0	2	5	0
CR5	H	0	3	5	0
CR5	H	0	4	5	0
CR5	H	0	5	5	0
CR6	C	0	1	5	0
CR6	C	0	2	5	0
CR6	C	0	3	5	0
CR6	C	0	4	5	0
CR6	C	0	5	5	0
CR6	L	0	1	5	0
CR6	L	0	2	5	0
CR6	L	0	3	5	0
CR6	L	0	4	5	0
CR6	L	0	5	5	0
CR6	M	0	1	5	0
CR6	M	0	2	5	0
CR6	M	0	3	5	0
CR6	M	0	4	5	0
CR6	M	0	5	5	0
CR6	H	0	1	5	0
CR6	H	0	2	5	0
CR6	H	0	3	5	0
CR6	H	0	4	5	0
CR6	H	0	5	5	0
CR1	C	1	1	5	2
CR1	C	1	2	6	2
CR1	C	1	3	5	0
CR1	C	1	4	4	1
CR1	C	1	5	6	0
CR1	L	1	1	5	0
CR1	L	1	2	5	2
CR1	L	1	3	5	2
CR1	L	1	4	5	1
CR1	L	1	5	5	1
CR1	M	1	1	5	1
CR1	M	1	2	4	3
CR1	M	1	3	4	3
CR1	M	1	4	4	2
CR1	M	1	5	4	2
CR1	H	1	1	4	1
CR1	H	1	2	5	1
CR1	H	1	3	3	1
CR1	H	1	4	3	1
CR1	H	1	5	5	0
CR2	C	1	1	5	2
CR2	C	1	2	5	2
CR2	C	1	3	4	1
CR2	C	1	4	5	4
CR2	C	1	5	5	1
CR2	L	1	1	5	0
CR2	L	1	2	4	0
CR2	L	1	3	4	0
CR2	L	1	4	5	0
CR2	L	1	5	5	0
CR2	M	1	1	5	1
CR2	M	1	2	6	0
CR2	M	1	3	4	0
CR2	M	1	4	3	0
CR2	M	1	5	4	0
CR2	H	1	1	5	1
CR2	H	1	2	4	0
CR2	H	1	3	4	0
CR2	H	1	4	5	0
CR2	H	1	5	5	2
CR3	C	1	1	6	1
CR3	C	1	2	4	1
CR3	C	1	3	5	2
CR3	C	1	4	5	2
CR3	C	1	5	5	1
CR3	L	1	1	4	0
CR3	L	1	2	5	0
CR3	L	1	3	5	0
CR3	L	1	4	5	1
