"Strain"	"DensBP"	"ConvP"	"ConvPLSD"	"ConvPUSD"
"CR1"	0	67.5342	54.02736	81.04104
"CR1"	1.9e-05	67.512495	54.009996	81.014994
"CR1"	6.6e-05	67.457728	53.9661824	80.9492736
"CR1"	0.000186	67.317004	53.8536032	80.7804048
"CR1"	0.000406	67.060969	53.6487752	80.4731628
"CR1"	0.000705	66.712685	53.370148	80.055222
"CR1"	0.001189	66.147919	52.9183352	79.3775028
"CR1"	0.001737	65.510032	52.4080256	78.6120384
"CR1"	0.002495	64.63355	51.70684	77.56026
"CR1"	0.003342	63.668015	50.934412	76.401618
"CR1"	0.004327	62.562538	50.0500304	75.0750456
"CR1"	0.005437	61.352108	49.0816864	73.6225296
"CR1"	0.006609	60.089202	48.0713616	72.1070424
"CR1"	0.007904	58.759527	47.0076216	70.5114324
"CR1"	0.00922	57.429201	45.9433608	68.9150412
"CR1"	0.010587	56.110341	44.8882728	67.3324092
"CR1"	0.011959	54.834827	43.8678616	65.8017924
"CR1"	0.013336	53.602658	43.323308	64.3231896
"CR1"	0.014686	52.478978	42.88063	62.9747736
"CR1"	0.016025	51.395919	42.492178	61.536242
"CR1"	0.017307	50.476461	42.209047	59.919108
"CR1"	0.018564	49.620839	41.960167	58.433244
"CR1"	0.019772	48.892887	41.84819	57.029059
"CR1"	0.020933	48.286621	41.780035	55.835769
"CR1"	0.022066	47.75779	41.816217	54.712827
"CR1"	0.023137	47.407207	41.935756	53.773218
"CR1"	0.024191	47.11208	42.123691	52.954725
"CR1"	0.025198	46.982832	42.436265	52.247787
"CR1"	0.026185	46.940966	42.788406	51.727349
"CR1"	0.027149	47.008328	43.290527	51.2744
"CR1"	0.028094	47.215458	43.842699	51.014019
"CR1"	0.029031	47.476346	44.506348	50.843488
"CR1"	0.029954	47.925579	45.172785	50.79469
"CR1"	0.030717	48.309693	45.841384	50.892479
"CR1"	0.031062	48.5245	46.631802	51.045176
"CR1"	0.031678	48.962822	47.45743	51.183373
"CR1"	0.03251	49.579958	48.387398	51.40982
"CR1"	0.033345	50.310089	49.35236	51.816444
"CR1"	0.03418	51.07727	50.39035	52.323991
"CR1"	0.035018	51.960065	51.487302	52.890775
"CR1"	0.035858	52.890757	52.627398	53.600312
"CR1"	0.036698	53.896717	53.8455	54.354187
"CR1"	0.037539	54.978671	55.086135	55.219539
"CR1"	0.03838	56.098622	56.398992	56.1571
"CR1"	0.039227	57.310787	57.731533	57.157612
"CR1"	0.040076	58.545176	59.102624	58.256227
"CR1"	0.040936	59.838369	60.494306	59.38701
"CR1"	0.041804	61.156907	61.900204	60.598881
"CR1"	0.042681	62.500788	63.313854	61.840344
"CR1"	0.043575	63.862856	64.727163	63.119724
"CR1"	0.044475	65.229812	66.124361	64.427557
"CR1"	0.045397	66.591531	67.505592	65.745713
"CR1"	0.046327	67.941551	68.857443	67.071122
"CR1"	0.047273	69.268171	70.165585	68.388245
"CR1"	0.048234	70.555577	71.445264	69.68946
"CR1"	0.049205	71.818028	72.641347	70.954841
"CR1"	0.050197	72.999006	73.810223	72.200398
"CR1"	0.051195	74.150365	74.872768	73.364973
"CR1"	0.052213	75.204548	75.884368	74.496931
"CR1"	0.053241	76.197247	76.807793	75.54357
"CR1"	0.054282	77.11309	77.635263	76.514803
