Strain	Bead	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR1	C	7,5	5	21	1	1,29	1	4764
CR1	C	7,5	5	21	1	1,29	2	4702
CR1	C	7,5	5	21	1	1,29	3	4596
CR1	C	5	5	21	1	1,29	1	2975
CR1	C	5	5	21	1	1,29	2	2884
CR1	C	5	5	21	1	1,29	3	3072
CR1	C	3	5	21	1	1,29	1	1976
CR1	C	3	5	21	1	1,29	2	1960
CR1	C	3	5	21	1	1,29	3	1930
CR1	C	1	5	21	1	1,29	1	691
CR1	C	1	5	21	1	1,29	2	675
CR1	C	1	5	21	1	1,29	3	661
CR1	C	0,5	5	21	1	1,29	1	323
CR1	C	0,5	5	21	1	1,29	2	319
CR1	C	0,5	5	21	1	1,29	3	312
CR1	C	0,2	5	21	1	1,29	1	128
CR1	C	0,2	5	21	1	1,29	2	104
CR1	C	0,2	5	21	1	1,29	3	104
CR2	C	7,5	5	21	1	1,29	1	3218
CR2	C	7,5	5	21	1	1,29	2	3211
CR2	C	7,5	5	21	1	1,29	3	3124
CR2	C	5	5	21	1	1,29	1	1800
CR2	C	5	5	21	1	1,29	2	1867
CR2	C	5	5	21	1	1,29	3	1899
CR2	C	3	5	21	1	1,29	1	1120
CR2	C	3	5	21	1	1,29	2	944
CR2	C	3	5	21	1	1,29	3	1073
CR2	C	1	5	21	1	1,29	1	405
CR2	C	1	5	21	1	1,29	2	385
CR2	C	1	5	21	1	1,29	3	421
CR2	C	0,5	5	21	1	1,29	1	227
CR2	C	0,5	5	21	1	1,29	2	247
CR2	C	0,5	5	21	1	1,29	3	244
CR2	C	0,2	5	21	1	1,29	1	88
CR2	C	0,2	5	21	1	1,29	2	58
CR2	C	0,2	5	21	1	1,29	3	60
CR3	C	7,5	5	21	1	1,29	1	3697
CR3	C	7,5	5	21	1	1,29	2	3386
CR3	C	7,5	5	21	1	1,29	3	3285
CR3	C	5	5	21	1	1,29	1	2467
CR3	C	5	5	21	1	1,29	2	2280
CR3	C	5	5	21	1	1,29	3	2588
CR3	C	3	5	21	1	1,29	1	1559
CR3	C	3	5	21	1	1,29	2	1507
CR3	C	3	5	21	1	1,29	3	1730
CR3	C	1	5	21	1	1,29	1	485
CR3	C	1	5	21	1	1,29	2	534
CR3	C	1	5	21	1	1,29	3	555
CR3	C	0,5	5	21	1	1,29	1	273
CR3	C	0,5	5	21	1	1,29	2	243
CR3	C	0,5	5	21	1	1,29	3	279
CR3	C	0,2	5	21	1	1,29	1	105
CR3	C	0,2	5	21	1	1,29	2	89
CR3	C	0,2	5	21	1	1,29	3	86
CR4	C	7,5	5	21	1	1,29	1	7591
CR4	C	7,5	5	21	1	1,29	2	7744
CR4	C	7,5	5	21	1	1,29	3	7768
CR4	C	5	5	21	1	1,29	1	5544
CR4	C	5	5	21	1	1,29	2	5480
CR4	C	5	5	21	1	1,29	3	5393
CR4	C	3	5	21	1	1,29	1	2728
CR4	C	3	5	21	1	1,29	2	2785
CR4	C	3	5	21	1	1,29	3	2556
CR4	C	1	5	21	1	1,29	1	1130
CR4	C	1	5	21	1	1,29	2	1117
CR4	C	1	5	21	1	1,29	3	1125
CR4	C	0,5	5	21	1	1,29	1	559
CR4	C	0,5	5	21	1	1,29	2	553
CR4	C	0,5	5	21	1	1,29	3	543
CR4	C	0,2	5	21	1	1,29	1	190
CR4	C	0,2	5	21	1	1,29	2	196
CR4	C	0,2	5	21	1	1,29	3	195
CR5	C	7,5	5	21	1	1,29	1	7638
CR5	C	7,5	5	21	1	1,29	2	7790
CR5	C	7,5	5	21	1	1,29	3	7769
CR5	C	5	5	21	1	1,29	1	5074
CR5	C	5	5	21	1	1,29	2	4990
CR5	C	5	5	21	1	1,29	3	4951
CR5	C	3	5	21	1	1,29	1	3051
CR5	C	3	5	21	1	1,29	2	3157
CR5	C	3	5	21	1	1,29	3	3166
CR5	C	1	5	21	1	1,29	1	1148
CR5	C	1	5	21	1	1,29	2	1110
CR5	C	1	5	21	1	1,29	3	1171
CR5	C	0,5	5	21	1	1,29	1	520
CR5	C	0,5	5	21	1	1,29	2	532
CR5	C	0,5	5	21	1	1,29	3	532
CR5	C	0,2	5	21	1	1,29	1	232
CR5	C	0,2	5	21	1	1,29	2	202
CR5	C	0,2	5	21	1	1,29	3	180
CR6	C	7,5	5	21	1	1,29	1	8314
CR6	C	7,5	5	21	1	1,29	2	8182
CR6	C	7,5	5	21	1	1,29	3	8187
CR6	C	5	5	21	1	1,29	1	5830
CR6	C	5	5	21	1	1,29	2	6007
CR6	C	5	5	21	1	1,29	3	6026
CR6	C	3	5	21	1	1,29	1	3611
CR6	C	3	5	21	1	1,29	2	3678
CR6	C	3	5	21	1	1,29	3	3960
CR6	C	1	5	21	1	1,29	1	1442
CR6	C	1	5	21	1	1,29	2	1454
CR6	C	1	5	21	1	1,29	3	1450
CR6	C	0,5	5	21	1	1,29	1	669
CR6	C	0,5	5	21	1	1,29	2	689
CR6	C	0,5	5	21	1	1,29	3	670
CR6	C	0,2	5	21	1	1,29	1	243
CR6	C	0,2	5	21	1	1,29	2	203
CR6	C	0,2	5	21	1	1,29	3	208
CR1	L	7,5	5	21	1	1,29	1	3746
CR1	L	7,5	5	21	1	1,29	2	4152
CR1	L	7,5	5	21	1	1,29	3	4199
CR1	L	5	5	21	1	1,29	1	2542
CR1	L	5	5	21	1	1,29	2	2317
CR1	L	5	5	21	1	1,29	3	2362
CR1	L	3	5	21	1	1,29	1	1391
CR1	L	3	5	21	1	1,29	2	1180
CR1	L	3	5	21	1	1,29	3	1316
CR1	L	1	5	21	1	1,29	1	499
CR1	L	1	5	21	1	1,29	2	516
CR1	L	1	5	21	1	1,29	3	494
CR1	L	0,5	5	21	1	1,29	1	224
CR1	L	0,5	5	21	1	1,29	2	239
CR1	L	0,5	5	21	1	1,29	3	243
CR1	L	0,2	5	21	1	1,29	1	91
CR1	L	0,2	5	21	1	1,29	2	77
CR1	L	0,2	5	21	1	1,29	3	65
CR2	L	7,5	5	21	1	1,29	1	4760
CR2	L	7,5	5	21	1	1,29	2	5042
CR2	L	7,5	5	21	1	1,29	3	5039
CR2	L	5	5	21	1	1,29	1	3137
CR2	L	5	5	21	1	1,29	2	2842
CR2	L	5	5	21	1	1,29	3	3103
CR2	L	3	5	21	1	1,29	1	1940
CR2	L	3	5	21	1	1,29	2	1802
CR2	L	3	5	21	1	1,29	3	1849
CR2	L	1	5	21	1	1,29	1	532
CR2	L	1	5	21	1	1,29	2	595
CR2	L	1	5	21	1	1,29	3	641
CR2	L	0,5	5	21	1	1,29	1	281
CR2	L	0,5	5	21	1	1,29	2	281
CR2	L	0,5	5	21	1	1,29	3	273
CR2	L	0,2	5	21	1	1,29	1	119
CR2	L	0,2	5	21	1	1,29	2	105
CR2	L	0,2	5	21	1	1,29	3	96
CR3	L	7,5	5	21	1	1,29	1	5152
CR3	L	7,5	5	21	1	1,29	2	5027
CR3	L	7,5	5	21	1	1,29	3	4997
CR3	L	5	5	21	1	1,29	1	3474
CR3	L	5	5	21	1	1,29	2	3391
CR3	L	5	5	21	1	1,29	3	3490
CR3	L	3	5	21	1	1,29	1	2247
CR3	L	3	5	21	1	1,29	2	2262
CR3	L	3	5	21	1	1,29	3	2222
CR3	L	1	5	21	1	1,29	1	719
CR3	L	1	5	21	1	1,29	2	780
CR3	L	1	5	21	1	1,29	3	765
CR3	L	0,5	5	21	1	1,29	1	374
CR3	L	0,5	5	21	1	1,29	2	359
CR3	L	0,5	5	21	1	1,29	3	375
CR3	L	0,2	5	21	1	1,29	1	143
CR3	L	0,2	5	21	1	1,29	2	129
CR3	L	0,2	5	21	1	1,29	3	116
CR4	L	7,5	5	21	1	1,29	1	7671
CR4	L	7,5	5	21	1	1,29	2	7618
CR4	L	7,5	5	21	1	1,29	3	7599
CR4	L	5	5	21	1	1,29	1	5686
CR4	L	5	5	21	1	1,29	2	5697
CR4	L	5	5	21	1	1,29	3	5669
CR4	L	3	5	21	1	1,29	1	3496
CR4	L	3	5	21	1	1,29	2	3455
CR4	L	3	5	21	1	1,29	3	3415
CR4	L	1	5	21	1	1,29	1	1144
CR4	L	1	5	21	1	1,29	2	1204
CR4	L	1	5	21	1	1,29	3	1194
CR4	L	0,5	5	21	1	1,29	1	564
CR4	L	0,5	5	21	1	1,29	2	583
CR4	L	0,5	5	21	1	1,29	3	584
CR4	L	0,2	5	21	1	1,29	1	214
CR4	L	0,2	5	21	1	1,29	2	172
CR4	L	0,2	5	21	1	1,29	3	183
CR5	L	7,5	5	21	1	1,29	1	5383
CR5	L	7,5	5	21	1	1,29	2	5305
CR5	L	7,5	5	21	1	1,29	3	5331
CR5	L	5	5	21	1	1,29	1	3672
CR5	L	5	5	21	1	1,29	2	3697
CR5	L	5	5	21	1	1,29	3	3627
CR5	L	3	5	21	1	1,29	1	2279
CR5	L	3	5	21	1	1,29	2	2371
CR5	L	3	5	21	1	1,29	3	2317
CR5	L	1	5	21	1	1,29	1	841
CR5	L	1	5	21	1	1,29	2	854
CR5	L	1	5	21	1	1,29	3	879
CR5	L	0,5	5	21	1	1,29	1	420
CR5	L	0,5	5	21	1	1,29	2	406
CR5	L	0,5	5	21	1	1,29	3	385
CR5	L	0,2	5	21	1	1,29	1	141
CR5	L	0,2	5	21	1	1,29	2	138
CR5	L	0,2	5	21	1	1,29	3	137
CR6	L	7,5	5	21	1	1,29	1	5147
CR6	L	7,5	5	21	1	1,29	2	4996
CR6	L	7,5	5	21	1	1,29	3	5083
CR6	L	5	5	21	1	1,29	1	3481
CR6	L	5	5	21	1	1,29	2	3496
CR6	L	5	5	21	1	1,29	3	3538
CR6	L	3	5	21	1	1,29	1	2337
CR6	L	3	5	21	1	1,29	2	2434
CR6	L	3	5	21	1	1,29	3	2396
CR6	L	1	5	21	1	1,29	1	851
CR6	L	1	5	21	1	1,29	2	828
CR6	L	1	5	21	1	1,29	3	836
CR6	L	0,5	5	21	1	1,29	1	383
CR6	L	0,5	5	21	1	1,29	2	386
CR6	L	0,5	5	21	1	1,29	3	386
CR6	L	0,2	5	21	1	1,29	1	139
CR6	L	0,2	5	21	1	1,29	2	136
CR6	L	0,2	5	21	1	1,29	3	121
CR1	M	7,5	5	21	1	1,29	1	6010
CR1	M	7,5	5	21	1	1,29	2	6041
CR1	M	7,5	5	21	1	1,29	3	6060
CR1	M	5	5	21	1	1,29	1	4022
CR1	M	5	5	21	1	1,29	2	3932
CR1	M	5	5	21	1	1,29	3	3747
CR1	M	3	5	21	1	1,29	1	1977
CR1	M	3	5	21	1	1,29	2	1940
CR1	M	3	5	21	1	1,29	3	2033
CR1	M	1	5	21	1	1,29	1	572
CR1	M	1	5	21	1	1,29	2	569
CR1	M	1	5	21	1	1,29	3	588
CR1	M	0,5	5	21	1	1,29	1	190
CR1	M	0,5	5	21	1	1,29	2	186
CR1	M	0,5	5	21	1	1,29	3	201
CR1	M	0,2	5	21	1	1,29	1	80
CR1	M	0,2	5	21	1	1,29	2	72
CR1	M	0,2	5	21	1	1,29	3	66
CR2	M	7,5	5	21	1	1,29	1	6021
CR2	M	7,5	5	21	1	1,29	2	6091
CR2	M	7,5	5	21	1	1,29	3	6110
CR2	M	5	5	21	1	1,29	1	4108
CR2	M	5	5	21	1	1,29	2	4177
CR2	M	5	5	21	1	1,29	3	4101
CR2	M	3	5	21	1	1,29	1	2305
CR2	M	3	5	21	1	1,29	2	2194
CR2	M	3	5	21	1	1,29	3	2271
CR2	M	1	5	21	1	1,29	1	643
CR2	M	1	5	21	1	1,29	2	668
CR2	M	1	5	21	1	1,29	3	687
CR2	M	0,5	5	21	1	1,29	1	277
CR2	M	0,5	5	21	1	1,29	2	271
CR2	M	0,5	5	21	1	1,29	3	269
CR2	M	0,2	5	21	1	1,29	1	88
CR2	M	0,2	5	21	1	1,29	2	84
CR2	M	0,2	5	21	1	1,29	3	86
CR3	M	7,5	5	21	1	1,29	1	6299
CR3	M	7,5	5	21	1	1,29	2	6447
CR3	M	7,5	5	21	1	1,29	3	6389
CR3	M	5	5	21	1	1,29	1	4314
CR3	M	5	5	21	1	1,29	2	4288
CR3	M	5	5	21	1	1,29	3	4289
CR3	M	3	5	21	1	1,29	1	2487
CR3	M	3	5	21	1	1,29	2	2485
CR3	M	3	5	21	1	1,29	3	2484
CR3	M	1	5	21	1	1,29	1	796
CR3	M	1	5	21	1	1,29	2	786
CR3	M	1	5	21	1	1,29	3	780
CR3	M	0,5	5	21	1	1,29	1	313
CR3	M	0,5	5	21	1	1,29	2	308
CR3	M	0,5	5	21	1	1,29	3	292
CR3	M	0,2	5	21	1	1,29	1	108
CR3	M	0,2	5	21	1	1,29	2	111
CR3	M	0,2	5	21	1	1,29	3	109
CR4	M	7,5	5	21	1	1,29	1	8491
CR4	M	7,5	5	21	1	1,29	2	8478
CR4	M	7,5	5	21	1	1,29	3	8489
CR4	M	5	5	21	1	1,29	1	6287
CR4	M	5	5	21	1	1,29	2	6306
CR4	M	5	5	21	1	1,29	3	6288
CR4	M	3	5	21	1	1,29	1	4315
CR4	M	3	5	21	1	1,29	2	4261
CR4	M	3	5	21	1	1,29	3	4236
