"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"
"CR1"	"C"	0.1	0.0026	0.00208	0.00312
"CR1"	"C"	0.2	0.005	0.004	0.006
"CR1"	"C"	0.3	0.0074	0.00592	0.00888
"CR1"	"C"	0.4	0.0097	0.00776	0.01164
"CR1"	"C"	0.5	0.0119	0.00952	0.01428
"CR1"	"C"	0.6	0.014	0.0112	0.0168
"CR1"	"C"	0.7	0.0161	0.01288	0.01932
"CR1"	"C"	0.8	0.0181	0.01448	0.02172
"CR1"	"C"	0.9	0.0201	0.01608	0.02412
"CR1"	"C"	1	0.022	0.0176	0.0264
"CR1"	"C"	1.1	0.0238	0.01904	0.02856
"CR1"	"C"	1.2	0.0256	0.02048	0.03072
"CR1"	"C"	1.3	0.0273	0.02184	0.03276
"CR1"	"C"	1.4	0.029	0.0232	0.0348
"CR1"	"C"	1.5	0.0306	0.02448	0.03672
"CR1"	"C"	1.6	0.0322	0.02576	0.03864
"CR1"	"C"	1.7	0.0338	0.02704	0.04056
"CR1"	"C"	1.8	0.0352	0.02816	0.04224
"CR1"	"C"	1.9	0.0367	0.02936	0.04404
"CR1"	"C"	2	0.0381	0.03048	0.04572
"CR1"	"C"	2.1	0.0395	0.0316	0.0474
"CR1"	"C"	2.2	0.0408	0.03264	0.04896
"CR1"	"C"	2.3	0.0422	0.03376	0.05064
"CR1"	"C"	2.4	0.0434	0.03472	0.05208
"CR1"	"C"	2.5	0.0447	0.03576	0.05364
"CR1"	"C"	2.6	0.0459	0.03672	0.05508
"CR1"	"C"	2.7	0.047	0.0376	0.0564
"CR1"	"C"	2.8	0.0482	0.03856	0.05784
"CR1"	"C"	2.9	0.0493	0.03944	0.05916
"CR1"	"C"	3	0.0504	0.04032	0.06048
"CR1"	"C"	3.1	0.0515	0.0412	0.0618
"CR1"	"C"	3.2	0.0526	0.04208	0.06312
"CR1"	"C"	3.3	0.0536	0.04288	0.06432
"CR1"	"C"	3.4	0.0546	0.04368	0.06552
"CR1"	"C"	3.5	0.0556	0.04448	0.06672
"CR1"	"C"	3.6	0.0565	0.0452	0.0678
"CR1"	"C"	3.7	0.0574	0.04592	0.06888
"CR1"	"C"	3.8	0.0584	0.04672	0.07008
"CR1"	"C"	3.9	0.0592	0.04736	0.07104
"CR1"	"C"	4	0.0601	0.04808	0.07212
"CR1"	"C"	4.1	0.0609	0.04872	0.07308
"CR1"	"C"	4.2	0.0618	0.04944	0.07416
"CR1"	"C"	4.3	0.0626	0.05008	0.07512
"CR1"	"C"	4.4	0.0634	0.05072	0.07608
"CR1"	"C"	4.5	0.0642	0.05136	0.07704
"CR1"	"C"	4.6	0.065	0.052	0.078
"CR1"	"C"	4.7	0.0657	0.05256	0.07884
"CR1"	"C"	4.8	0.0665	0.0532	0.0798
"CR1"	"C"	4.9	0.0672	0.05376	0.08064
"CR1"	"C"	5	0.0679	0.05432	0.08148
"CR1"	"C"	5.1	0.0686	0.05488	0.08232
"CR1"	"C"	5.2	0.0693	0.05544	0.08316
"CR1"	"C"	5.3	0.0699	0.05592	0.08388
"CR1"	"C"	5.4	0.0706	0.05648	0.08472
"CR1"	"C"	5.5	0.0712	0.05696	0.08544
"CR1"	"C"	5.6	0.0719	0.05752	0.08628
"CR1"	"C"	5.7	0.0725	0.058	0.087
"CR1"	"C"	5.8	0.0731	0.05848	0.08772
"CR1"	"C"	5.9	0.0737	0.05896	0.08844
"CR1"	"C"	6	0.0743	0.05944	0.08916
"CR1"	"C"	6.1	0.0749	0.05992	0.08988
"CR1"	"C"	6.2	0.0755	0.0604	0.0906
"CR1"	"C"	6.3	0.076	0.0608	0.0912
"CR1"	"C"	6.4	0.0766	0.06128	0.09192
"CR1"	"C"	6.5	0.0771	0.06168	0.09252
"CR1"	"C"	6.6	0.0776	0.06208	0.09312
"CR1"	"C"	6.7	0.0781	0.06248	0.09372
"CR1"	"C"	6.8	0.0786	0.06288	0.09432
"CR1"	"C"	6.9	0.0792	0.06336	0.09504
"CR1"	"C"	7	0.0796	0.06368	0.09552
"CR1"	"C"	7.1	0.0802	0.06416	0.09624
"CR1"	"C"	7.2	0.0806	0.06448	0.09672
"CR1"	"C"	7.3	0.0811	0.06488	0.09732
"CR1"	"C"	7.4	0.0816	0.06528	0.09792
"CR1"	"C"	7.5	0.082	0.0656	0.0984
"CR1"	"C"	7.6	0.0825	0.066	0.099
"CR1"	"C"	7.7	0.0829	0.06632	0.09948
"CR1"	"C"	7.8	0.0833	0.06664	0.09996
"CR1"	"C"	7.9	0.0838	0.06704	0.10056
"CR1"	"C"	8	0.0842	0.06736	0.10104
"CR1"	"C"	8.1	0.0846	0.06768	0.10152
"CR1"	"C"	8.2	0.085	0.068	0.102
"CR1"	"C"	8.3	0.0854	0.06832	0.10248
"CR1"	"C"	8.4	0.0858	0.06864	0.10296
"CR1"	"C"	8.5	0.0862	0.06896	0.10344
"CR1"	"C"	8.6	0.0866	0.06928	0.10392
"CR1"	"C"	8.7	0.087	0.0696	0.1044
"CR1"	"C"	8.8	0.0874	0.06992	0.10488
"CR1"	"C"	8.9	0.0877	0.07016	0.10524
"CR1"	"C"	9	0.0881	0.07048	0.10572
"CR1"	"C"	9.1	0.0884	0.07072	0.10608
"CR1"	"C"	9.2	0.0888	0.07104	0.10656
"CR1"	"C"	9.3	0.0892	0.07136	0.10704
"CR1"	"C"	9.4	0.0895	0.0716	0.1074
"CR1"	"C"	9.5	0.0898	0.07184	0.10776
"CR1"	"C"	9.6	0.0902	0.07216	0.10824
"CR1"	"C"	9.7	0.0905	0.0724	0.1086
"CR1"	"C"	9.8	0.0908	0.07264	0.10896
"CR1"	"C"	9.9	0.0912	0.07296	0.10944
"CR1"	"C"	10	0.0915	0.0732	0.1098
"CR1"	"C"	10.1	0.0918	0.07344	0.11016
"CR1"	"C"	10.2	0.0921	0.07368	0.11052
"CR1"	"C"	10.3	0.0924	0.07392	0.11088
"CR1"	"C"	10.4	0.0927	0.07416	0.11124
"CR1"	"C"	10.5	0.093	0.0744	0.1116
"CR1"	"C"	10.6	0.0933	0.07464	0.11196
"CR1"	"C"	10.7	0.0936	0.07488	0.11232
"CR1"	"C"	10.8	0.0939	0.07512	0.11268
"CR1"	"C"	10.9	0.0942	0.07536	0.11304
"CR1"	"C"	11	0.0945	0.0756	0.1134
"CR1"	"C"	11.1	0.0947	0.07576	0.11364
"CR1"	"C"	11.2	0.095	0.076	0.114
"CR1"	"C"	11.3	0.0953	0.07624	0.11436
"CR1"	"C"	11.4	0.0955	0.0764	0.1146
"CR1"	"C"	11.5	0.0958	0.07664	0.11496
"CR1"	"C"	11.6	0.096	0.0768	0.1152
"CR1"	"C"	11.7	0.0963	0.07704	0.11556
"CR1"	"C"	11.8	0.0965	0.0772	0.1158
"CR1"	"C"	11.9	0.0968	0.07744	0.11616
"CR1"	"C"	12	0.097	0.0776	0.1164
"CR1"	"C"	12.1	0.0973	0.07784	0.11676
"CR1"	"C"	12.2	0.0975	0.078	0.117
"CR1"	"C"	12.3	0.0978	0.07824	0.11736
"CR1"	"C"	12.4	0.098	0.0784	0.1176
"CR1"	"C"	12.5	0.0983	0.07864	0.11796
"CR1"	"C"	12.6	0.0985	0.0788	0.1182
"CR1"	"C"	12.7	0.0987	0.07896	0.11844
"CR1"	"C"	12.8	0.0989	0.07912	0.11868
"CR1"	"C"	12.9	0.0992	0.07936	0.11904
"CR1"	"C"	13	0.0994	0.07952	0.11928
"CR1"	"C"	13.1	0.0996	0.07968	0.11952
"CR1"	"C"	13.2	0.0998	0.07984	0.11976
"CR1"	"C"	13.3	0.1	0.08	0.12
"CR1"	"C"	13.4	0.1003	0.08024	0.12036
"CR1"	"C"	13.5	0.1004	0.08032	0.12048
"CR1"	"C"	13.6	0.1007	0.08056	0.12084
"CR1"	"C"	13.7	0.1009	0.08072	0.12108
"CR1"	"C"	13.8	0.1011	0.08088	0.12132
"CR1"	"C"	13.9	0.1013	0.08104	0.12156
"CR1"	"C"	14	0.1015	0.0812	0.1218
"CR1"	"C"	14.1	0.1017	0.08136	0.12204
"CR1"	"C"	14.2	0.1018	0.08144	0.12216
"CR1"	"C"	14.3	0.1021	0.08168	0.12252
"CR1"	"C"	14.4	0.1022	0.08176	0.12264
"CR1"	"C"	14.5	0.1024	0.08192	0.12288
"CR1"	"C"	14.6	0.1026	0.08208	0.12312
"CR1"	"C"	14.7	0.1028	0.08224	0.12336
"CR1"	"C"	14.8	0.103	0.0824	0.1236
"CR1"	"C"	14.9	0.1032	0.08256	0.12384
"CR1"	"C"	15	0.1033	0.08264	0.12396
"CR2"	"C"	0.1	0.0037	0.00296	0.00444
"CR2"	"C"	0.2	0.007	0.0056	0.0084
"CR2"	"C"	0.3	0.01	0.008	0.012
